epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.3544,2.18629,5.01482,0.04894,0,0,0,0,nan,nan,nan,0.00325203,0.00325203,0.0707317
2,22.0192,1.95984,3.4439,0.04229,0,0,0,0,nan,nan,nan,0.00657233,0.00657233,0.0407187
3,28.3993,1.90477,3.36292,0.04081,0.66723,0.00667,0.00025,4e-05,nan,nan,nan,0.00987942,0.00987942,0.0106924
4,34.1226,1.92369,3.22058,0.04103,0.01779,0.02436,0.00286,0.00064,3.80224,8.9712,0.09683,0.0099406,0.0099406,0.0099406
5,39.5176,1.80821,3.09217,0.03749,0.37044,0.11728,0.01533,0.00256,3.48742,9.12996,0.12959,0.0099208,0.0099208,0.0099208
6,44.91,1.8173,2.88123,0.03814,0.14051,0.07071,0.04054,0.01081,2.56159,4.32432,0.07704,0.009901,0.009901,0.009901
7,50.8135,1.78635,2.89111,0.03701,0.08461,0.08048,0.03316,0.00911,2.48014,10.8213,0.0685,0.0098812,0.0098812,0.0098812
8,56.8938,1.79791,2.85256,0.03763,0.44232,0.10395,0.064,0.01875,2.46741,6.75053,0.07154,0.0098614,0.0098614,0.0098614
9,62.9811,1.74409,2.79187,0.03744,0.07809,0.12154,0.01738,0.00513,2.71399,4.96692,0.08086,0.0098416,0.0098416,0.0098416
10,69.1795,1.75761,2.65806,0.03672,0.42452,0.20284,0.06887,0.0175,2.69367,3.95076,0.07492,0.0098218,0.0098218,0.0098218
11,75.8309,1.75785,2.67087,0.03645,0.84285,0.21864,0.22238,0.08371,2.23887,2.96561,0.06084,0.009802,0.009802,0.009802
12,82.1139,1.69494,2.66535,0.03614,0.39711,0.1362,0.07225,0.01981,2.4359,3.70114,0.06681,0.0097822,0.0097822,0.0097822
13,88.0974,1.74051,2.58909,0.03595,0.82944,0.1919,0.2405,0.09401,2.05109,3.63139,0.05384,0.0097624,0.0097624,0.0097624
14,94.3862,1.66754,2.54486,0.03535,0.19151,0.17161,0.07593,0.01598,2.52845,4.1598,0.07464,0.0097426,0.0097426,0.0097426
15,100.545,1.66997,2.49297,0.03443,0.57026,0.30505,0.25372,0.0876,1.90926,3.47181,0.04911,0.0097228,0.0097228,0.0097228
16,106.617,1.64422,2.51654,0.03409,0.22721,0.40531,0.23046,0.0891,2.0506,3.26108,0.05095,0.009703,0.009703,0.009703
17,112.504,1.62902,2.40423,0.03369,0.24293,0.25279,0.15055,0.04132,2.46444,4.47467,0.06956,0.0096832,0.0096832,0.0096832
18,118.32,1.67868,2.36308,0.03539,0.32243,0.30161,0.23254,0.07389,2.15563,2.92962,0.06028,0.0096634,0.0096634,0.0096634
19,124.118,1.63476,2.28254,0.03377,0.24891,0.42175,0.23538,0.09246,2.0089,3.12429,0.05127,0.0096436,0.0096436,0.0096436
20,130.224,1.5817,2.34133,0.03286,0.34263,0.4051,0.23449,0.08442,2.09588,2.98826,0.05394,0.0096238,0.0096238,0.0096238
21,135.938,1.58641,2.32748,0.03269,0.19981,0.27464,0.15627,0.05522,2.25098,3.58498,0.05978,0.009604,0.009604,0.009604
