epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.6535,3.12277,7.01846,0.04015,0,0,0,0,nan,nan,nan,0.00325203,0.00325203,0.0707317
2,19.2389,2.95698,3.72798,0.03672,0,0,0,0,nan,nan,nan,0.00657233,0.00657233,0.0407187
3,24.5914,2.96037,3.51948,0.03681,0,0,0,0,nan,nan,nan,0.00987942,0.00987942,0.0106924
4,30.0416,2.84308,3.44452,0.03492,0.02128,0.02583,0.00329,0.00086,nan,nan,nan,0.0099406,0.0099406,0.0099406
5,35.546,2.57259,3.35979,0.03028,0.01643,0.02542,0.0062,0.00219,3.44678,6.92758,0.05385,0.0099208,0.0099208,0.0099208
6,40.9328,2.52731,3.19641,0.03027,0.0221,0.05646,0.00644,0.00148,4.08839,13.0671,0.06373,0.009901,0.009901,0.009901
7,46.6633,2.61974,3.13859,0.03107,0.05588,0.07729,0.01422,0.00475,3.2403,9.93724,0.04408,0.0098812,0.0098812,0.0098812
8,52.5706,2.53586,3.06159,0.03044,0.54518,0.09896,0.04009,0.01163,3.08773,7.22479,0.04082,0.0098614,0.0098614,0.0098614
9,58.3578,2.54657,3.04772,0.03112,0.10066,0.12354,0.04846,0.01555,2.95631,5.77902,0.04076,0.0098416,0.0098416,0.0098416
10,64.3712,2.4357,2.96436,0.02874,0.55008,0.05,0.02679,0.00854,3.15415,5.66426,0.04673,0.0098218,0.0098218,0.0098218
11,70.3278,2.53047,2.86599,0.02965,0.15911,0.15875,0.06231,0.02158,3.24442,4.35424,0.04415,0.009802,0.009802,0.009802
12,76.1198,2.50564,2.8942,0.03009,0.06239,0.05208,0.01823,0.00497,3.28251,5.1645,0.04853,0.0097822,0.0097822,0.0097822
13,81.9719,2.49198,2.87927,0.02912,0.18187,0.19,0.09069,0.02538,2.95288,3.83846,0.04024,0.0097624,0.0097624,0.0097624
14,87.8,2.41478,2.85119,0.02917,0.59517,0.04688,0.02936,0.00973,3.6282,5.16024,0.05488,0.0097426,0.0097426,0.0097426
15,93.7106,2.43483,2.74783,0.02869,0.14271,0.15208,0.05273,0.01446,3.10273,4.77783,0.04526,0.0097228,0.0097228,0.0097228
16,99.5402,2.41123,2.71031,0.02812,0.15469,0.14792,0.06695,0.02107,3.09731,3.87244,0.04274,0.009703,0.009703,0.009703
17,105.184,2.40327,2.66515,0.02835,0.28494,0.35458,0.27716,0.09258,2.69204,3.01995,0.03631,0.0096832,0.0096832,0.0096832
18,111.253,2.46429,2.688,0.02933,0.26553,0.42792,0.30587,0.09768,2.53287,3.08076,0.03226,0.0096634,0.0096634,0.0096634
19,117.789,2.43275,2.57171,0.0284,0.34581,0.38433,0.28346,0.09479,2.77438,2.64996,0.03692,0.0096436,0.0096436,0.0096436
20,124.102,2.37551,2.52043,0.029,0.28316,0.33707,0.20813,0.06277,3.51293,2.69097,0.0485,0.0096238,0.0096238,0.0096238
21,130.461,2.41814,2.52938,0.02907,0.29791,0.10604,0.09361,0.02492,3.3907,5.39104,0.05031,0.009604,0.009604,0.009604
22,136.856,2.37177,2.54958,0.02751,0.2816,0.23104,0.13555,0.04478,2.98915,3.45051,0.04249,0.0095842,0.0095842,0.0095842
23,143.279,2.39413,2.44598,0.02886,0.23702,0.27125,0.18648,0.05584,3.25825,2.95018,0.04337,0.0095644,0.0095644,0.0095644
24,149.615,2.40745,2.41551,0.02895,0.3102,0.29271,0.21655,0.0736,2.90917,2.8998,0.03813,0.0095446,0.0095446,0.0095446
25,155.926,2.36101,2.51692,0.02837,0.27556,0.23958,0.17412,0.05935,2.86547,3.28754,0.03924,0.0095248,0.0095248,0.0095248
26,161.814,2.34871,2.41067,0.02776,0.32589,0.34884,0.21425,0.06455,2.79925,3.26706,0.03748,0.009505,0.009505,0.009505
27,167.829,2.46,2.45881,0.02942,0.24947,0.26562,0.197,0.07104,2.9094,3.18581,0.04121,0.0094852,0.0094852,0.0094852
28,173.568,2.33401,2.42985,0.02772,0.38053,0.18146,0.13839,0.04875,2.89426,3.5408,0.03949,0.0094654,0.0094654,0.0094654
29,178.867,2.33875,2.4261,0.02702,0.11567,0.16958,0.06832,0.02152,2.99026,3.75699,0.042,0.0094456,0.0094456,0.0094456
30,184.183,2.41379,2.39105,0.02858,0.22511,0.20438,0.12236,0.03859,3.01095,3.43986,0.04293,0.0094258,0.0094258,0.0094258
31,189.736,2.3609,2.34571,0.02792,0.37205,0.34604,0.25252,0.08586,2.57632,2.62396,0.03553,0.009406,0.009406,0.009406
32,195.33,2.39382,2.3449,0.02781,0.18225,0.12771,0.06347,0.0223,3.15588,4.62196,0.04486,0.0093862,0.0093862,0.0093862
33,200.521,2.31004,2.38674,0.02733,0.20649,0.20542,0.12378,0.0383,2.96937,3.15573,0.04183,0.0093664,0.0093664,0.0093664
34,206.004,2.44941,2.28207,0.02921,0.38096,0.24269,0.19768,0.06434,3.09021,3.07356,0.04241,0.0093466,0.0093466,0.0093466
35,211.56,2.36733,2.29091,0.0275,0.26422,0.18521,0.11561,0.0435,3.06524,3.71628,0.04241,0.0093268,0.0093268,0.0093268
36,217.601,2.31173,2.2978,0.02788,0.29946,0.34123,0.25744,0.08329,2.84987,2.53024,0.03784,0.009307,0.009307,0.009307
37,224.111,2.40143,2.26422,0.0289,0.21614,0.11292,0.07673,0.02822,3.41246,3.73426,0.05076,0.0092872,0.0092872,0.0092872
38,229.945,2.44205,2.2689,0.02791,0.36511,0.43542,0.28238,0.09813,2.72639,2.54057,0.03697,0.0092674,0.0092674,0.0092674
