epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,482.399,1.31884,0.94015,1.68583,0.76436,0.80409,0.82314,0.42513,1.69827,0.91422,2.04211,0.0095941,0.0095941,0.0095941
43,493.661,1.3184,0.93353,1.67951,0.78104,0.82525,0.83569,0.44989,1.56803,0.92346,1.94136,0.0095842,0.0095842,0.0095842
44,504.831,1.29956,0.89832,1.65185,0.79074,0.80961,0.81754,0.41644,1.70786,0.94239,2.05944,0.0095743,0.0095743,0.0095743
45,516.016,1.29029,0.90975,1.65684,0.81877,0.81779,0.83633,0.47116,1.56711,0.91095,1.89091,0.0095644,0.0095644,0.0095644
46,527.236,1.27926,0.89796,1.643,0.80899,0.82335,0.84206,0.46116,1.58808,0.90028,1.95598,0.0095545,0.0095545,0.0095545
47,538.339,1.29093,0.90712,1.65012,0.73939,0.85094,0.83358,0.45193,1.58121,0.90738,1.92632,0.0095446,0.0095446,0.0095446
48,549.46,1.28951,0.91029,1.64542,0.76977,0.8354,0.81915,0.43594,1.61849,0.95493,1.9834,0.0095347,0.0095347,0.0095347
49,560.778,1.28079,0.89683,1.63906,0.78197,0.83893,0.82191,0.45625,1.57721,0.88705,1.93296,0.0095248,0.0095248,0.0095248
50,572.016,1.26605,0.89172,1.62406,0.81949,0.79207,0.82481,0.45623,1.59017,0.9041,1.94914,0.0095149,0.0095149,0.0095149
51,583.062,1.26227,0.86999,1.61813,0.79175,0.83173,0.83264,0.44811,1.6047,0.88398,1.98808,0.009505,0.009505,0.009505
52,594.296,1.2602,0.87698,1.62082,0.76768,0.80907,0.82412,0.45505,1.57153,0.90266,1.96217,0.0094951,0.0094951,0.0094951
53,605.482,1.24168,0.85401,1.60865,0.81401,0.82343,0.8415,0.46087,1.60579,0.86996,1.98809,0.0094852,0.0094852,0.0094852
54,616.671,1.23567,0.85092,1.60827,0.77651,0.79122,0.79419,0.42444,1.66262,0.95161,2.04431,0.0094753,0.0094753,0.0094753
55,627.754,1.23172,0.84783,1.60575,0.79092,0.82507,0.82494,0.46606,1.55145,0.86551,1.9386,0.0094654,0.0094654,0.0094654
56,638.844,1.24326,0.84631,1.60054,0.75518,0.82139,0.82396,0.47111,1.56189,0.88919,1.95217,0.0094555,0.0094555,0.0094555
57,649.915,1.24473,0.84853,1.60221,0.75064,0.81777,0.81396,0.45835,1.56096,0.87478,1.91159,0.0094456,0.0094456,0.0094456
58,661.068,1.2247,0.83663,1.58529,0.78463,0.83242,0.83133,0.47168,1.56449,0.86325,1.91367,0.0094357,0.0094357,0.0094357
59,672.232,1.21578,0.82594,1.58006,0.8116,0.82604,0.8447,0.45899,1.5672,0.86269,1.94802,0.0094258,0.0094258,0.0094258
60,683.354,1.20068,0.81564,1.56717,0.80336,0.82843,0.82897,0.47559,1.5168,0.87221,1.91438,0.0094159,0.0094159,0.0094159
61,694.672,1.19993,0.81781,1.56438,0.80395,0.812,0.83278,0.46266,1.54095,0.8691,1.92802,0.009406,0.009406,0.009406
62,705.795,1.20695,0.82276,1.58645,0.76469,0.82236,0.82939,0.42721,1.6867,0.88873,2.04058,0.0093961,0.0093961,0.0093961
63,716.902,1.19437,0.80553,1.55985,0.77783,0.85738,0.84325,0.47613,1.55783,0.84266,1.92686,0.0093862,0.0093862,0.0093862
64,727.977,1.20378,0.81828,1.56871,0.83018,0.82783,0.84663,0.46686,1.55884,0.86933,1.92417,0.0093763,0.0093763,0.0093763
65,739.182,1.20553,0.81313,1.57043,0.78557,0.8299,0.81996,0.4673,1.5522,0.88925,1.9414,0.0093664,0.0093664,0.0093664
66,750.307,1.19167,0.81234,1.56713,0.76901,0.81301,0.81364,0.45516,1.57358,0.87328,1.9601,0.0093565,0.0093565,0.0093565
67,761.549,1.17306,0.79962,1.55527,0.79654,0.79293,0.80678,0.45458,1.58492,0.84121,1.96985,0.0093466,0.0093466,0.0093466
68,772.836,1.17681,0.79387,1.53973,0.80638,0.79823,0.83425,0.46055,1.58259,0.89886,1.96694,0.0093367,0.0093367,0.0093367
69,783.96,1.16794,0.77991,1.54222,0.80819,0.8178,0.83798,0.48129,1.49141,0.84836,1.85723,0.0093268,0.0093268,0.0093268
70,795.052,1.15835,0.77457,1.53136,0.79839,0.82592,0.83132,0.45062,1.60354,0.83009,2.00676,0.0093169,0.0093169,0.0093169
71,806.269,1.1693,0.78089,1.54559,0.80257,0.84627,0.84976,0.46985,1.58724,0.82809,1.97716,0.009307,0.009307,0.009307
