epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,188.188,0.71604,0.82394,0.55552,1.31918,0.93058,0.95761,0.98292,0.71179,0.93058,0.95761,0.98292,0.87364,0.94745,0.73308,0.92164,1.86828,0.00194258,0.00194258,0.00194258
31,194.122,0.69542,0.71059,0.53949,1.25158,0.93597,0.92857,0.96832,0.6693,0.93597,0.92857,0.96832,0.84026,1.10102,0.73739,0.76861,2.02286,0.0019406,0.0019406,0.0019406
32,200.087,0.72132,0.81451,0.56953,1.272,0.91253,0.86936,0.94994,0.62325,0.92502,0.88126,0.96589,0.82679,1.20408,1.16865,0.99146,2.21244,0.00193862,0.00193862,0.00193862
33,206.004,0.69421,0.65706,0.55284,1.27405,0.961,0.96429,0.98097,0.73661,0.961,0.96429,0.98244,0.87444,0.98623,0.63831,0.74269,1.93354,0.00193664,0.00193664,0.00193664
34,211.934,0.63732,0.66332,0.5188,1.24284,0.93971,0.95238,0.97071,0.76154,0.93971,0.95238,0.97548,0.90245,0.92138,0.66845,0.65183,1.88552,0.00193466,0.00193466,0.00193466
35,217.832,0.67591,0.68756,0.51672,1.23325,0.89439,0.9074,0.94172,0.67924,0.90612,0.9193,0.95794,0.79442,1.09404,1.09164,0.76033,2.05821,0.00193268,0.00193268,0.00193268
36,223.807,0.6107,0.67085,0.48362,1.22107,0.88773,0.82143,0.91237,0.61386,0.91588,0.84524,0.93024,0.72788,1.17204,1.40093,0.93943,2.24576,0.0019307,0.0019307,0.0019307
37,229.734,0.61213,0.6451,0.49447,1.1908,0.90952,0.96429,0.98178,0.74861,0.91094,0.9742,0.98288,0.90166,0.91077,0.59812,0.73724,1.82543,0.00192872,0.00192872,0.00192872
38,235.901,0.65696,0.75859,0.564,1.2418,0.97572,0.97619,0.98199,0.77935,0.97572,0.97619,0.98212,0.91283,0.86905,0.71344,0.62095,1.84191,0.00192674,0.00192674,0.00192674
39,241.819,0.55762,0.62569,0.46651,1.14292,0.96899,0.9881,0.98522,0.80908,0.96899,0.9881,0.98522,0.94364,0.84932,0.44993,0.55431,1.7552,0.00192476,0.00192476,0.00192476
