epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,276.422,2.31527,2.09778,2.26114,2.91807,0.3852,0.74789,0.4708,0.14046,0.45067,0.83871,0.58884,0.32129,2.24744,1.56252,2.39174,3.33856,0.0018086,0.0018086,0.0018086
31,285.462,2.27986,1.93831,2.27427,2.87877,0.33621,0.67742,0.39224,0.14884,0.36716,0.6129,0.44938,0.28392,2.083,1.56596,2.22085,3.15811,0.001802,0.001802,0.001802
32,294.505,2.37962,1.91669,2.17593,2.81927,0.50668,0.5966,0.57048,0.21221,0.54513,0.67742,0.64475,0.3716,2.29191,1.92277,1.98119,3.31916,0.0017954,0.0017954,0.0017954
33,303.492,2.37942,2.00136,2.13549,2.87108,0.43242,0.64516,0.51885,0.19464,0.50975,0.80502,0.58698,0.29784,2.16074,2.14902,2.07257,3.17596,0.0017888,0.0017888,0.0017888
34,312.481,2.3292,2.08477,2.13863,2.88275,0.41858,0.64516,0.60379,0.22831,0.55104,0.74194,0.66502,0.34708,2.18147,1.82927,2.20154,3.17041,0.0017822,0.0017822,0.0017822
35,321.424,2.34864,1.99447,2.11501,2.89098,0.44423,0.69634,0.51708,0.12554,0.48796,0.76863,0.59729,0.2899,2.45386,1.83319,1.98459,3.40691,0.0017756,0.0017756,0.0017756
36,330.415,2.33153,1.97385,1.95579,2.85304,0.38204,0.54839,0.35866,0.13033,0.43057,0.6129,0.48801,0.25347,2.10434,2.52026,2.10438,3.22325,0.001769,0.001769,0.001769
37,339.384,2.33943,2.03934,1.99558,2.83286,0.54956,0.70845,0.69409,0.24446,0.57556,0.74194,0.73412,0.45605,2.03446,1.65279,1.94744,3.17485,0.0017624,0.0017624,0.0017624
38,348.435,2.23061,1.90116,1.94955,2.76548,0.54087,0.64516,0.66116,0.2254,0.6032,0.74194,0.73349,0.39916,2.16066,1.79354,2.16113,3.16968,0.0017558,0.0017558,0.0017558
39,357.386,2.23419,1.91801,1.90011,2.72503,0.55731,0.80645,0.70325,0.29394,0.56672,0.80645,0.72418,0.46804,1.97395,1.75274,1.68539,2.99318,0.0017492,0.0017492,0.0017492
40,366.37,2.2566,1.80849,1.82211,2.79278,0.62481,0.54839,0.67514,0.26229,0.56483,0.77419,0.71193,0.49002,2.0819,1.41258,1.71835,3.22938,0.0017426,0.0017426,0.0017426
41,375.316,2.15103,1.8133,1.74982,2.64703,0.59099,0.74585,0.6783,0.26418,0.61352,0.77419,0.68706,0.48524,2.09731,1.5972,1.74747,3.1145,0.001736,0.001736,0.001736
42,384.303,2.26343,1.88112,1.78322,2.72827,0.65126,0.72312,0.74251,0.29768,0.65126,0.72312,0.74263,0.51158,2.01563,1.59387,1.85722,3.07785,0.0017294,0.0017294,0.0017294
43,393.226,2.16888,1.88151,1.73821,2.67824,0.58448,0.70968,0.61522,0.20344,0.63178,0.77419,0.6845,0.42252,2.21617,1.41966,1.97572,3.32541,0.0017228,0.0017228,0.0017228
44,402.155,2.13134,1.73265,1.70783,2.6375,0.7624,0.77419,0.87232,0.33509,0.7624,0.77419,0.87446,0.59253,1.9676,1.55389,1.78239,3.12713,0.0017162,0.0017162,0.0017162
45,411.154,2.15967,1.83322,1.69506,2.63114,0.59843,0.87097,0.76739,0.31226,0.63633,0.9031,0.82263,0.54528,1.93614,1.35896,1.55931,3.03793,0.0017096,0.0017096,0.0017096
46,420.158,2.08848,1.59318,1.57652,2.6354,0.56471,0.80645,0.70365,0.25103,0.68323,0.87097,0.77698,0.47714,2.07052,1.59467,1.6296,3.14824,0.001703,0.001703,0.001703
47,429.109,2.05492,1.67095,1.54427,2.56039,0.69518,0.74194,0.81888,0.35149,0.73415,0.74194,0.84558,0.62085,1.89004,1.41332,1.52264,3.00853,0.0016964,0.0016964,0.0016964
48,438.13,2.01877,1.58078,1.50729,2.55776,0.66777,0.80645,0.78647,0.27556,0.66777,0.80645,0.7978,0.55856,1.93677,1.45552,1.70312,3.0202,0.0016898,0.0016898,0.0016898
49,447.084,2.05646,1.73693,1.57049,2.52864,0.77361,0.6617,0.76035,0.29603,0.81272,0.74194,0.80815,0.56339,2.05075,1.34945,1.54897,3.13928,0.0016832,0.0016832,0.0016832
50,456.057,1.92901,1.49602,1.42471,2.51957,0.67748,0.77419,0.7343,0.32974,0.7136,0.80382,0.81306,0.53554,1.86938,1.5255,1.54746,2.92924,0.0016766,0.0016766,0.0016766
51,465.033,1.94275,1.57343,1.47113,2.53718,0.56487,0.80645,0.66185,0.26724,0.64049,0.74724,0.72983,0.47384,1.97161,1.61212,1.61476,3.01617,0.00167,0.00167,0.00167
52,474.016,1.94157,1.67699,1.41994,2.43191,0.61653,0.6743,0.66767,0.21453,0.72735,0.77451,0.7751,0.41325,2.21109,1.77809,1.73254,3.27272,0.0016634,0.0016634,0.0016634
53,482.987,1.9834,1.60011,1.48361,2.49907,0.74489,0.6596,0.74938,0.32234,0.79654,0.758,0.82572,0.53182,1.94001,1.51731,1.59645,2.9188,0.0016568,0.0016568,0.0016568
54,491.967,1.92593,1.559,1.4209,2.46321,0.67089,0.70968,0.7984,0.32956,0.68938,0.80645,0.84255,0.59629,2.02329,1.38361,1.52064,3.07066,0.0016502,0.0016502,0.0016502
55,500.923,1.91299,1.62108,1.41774,2.48371,0.80895,0.81977,0.89901,0.38509,0.81633,0.87097,0.9222,0.62123,1.87954,1.69527,1.77219,2.98136,0.0016436,0.0016436,0.0016436
56,509.916,1.8935,1.55125,1.36497,2.43754,0.68848,0.71302,0.74259,0.29302,0.68848,0.71302,0.75302,0.50161,1.9478,1.47223,1.52882,3.03158,0.001637,0.001637,0.001637
57,518.882,1.8566,1.47748,1.34891,2.37972,0.79447,0.74832,0.86542,0.38053,0.84226,0.86142,0.91855,0.65436,1.8534,1.25013,1.29958,2.91772,0.0016304,0.0016304,0.0016304
58,527.863,1.8463,1.56687,1.3735,2.40841,0.9046,0.77419,0.90561,0.3865,0.86045,0.77419,0.91764,0.67243,1.92778,1.3383,1.27149,2.95527,0.0016238,0.0016238,0.0016238
59,536.831,1.84113,1.52713,1.34088,2.44766,0.72669,0.70968,0.82134,0.34941,0.72669,0.70968,0.82991,0.60365,1.88355,1.4883,1.43175,2.96193,0.0016172,0.0016172,0.0016172
60,545.817,1.77143,1.47119,1.27182,2.40241,0.6401,0.87097,0.82142,0.38656,0.68203,0.93548,0.86854,0.63756,1.79437,1.39048,1.55293,2.83725,0.0016106,0.0016106,0.0016106
61,554.792,1.79908,1.48809,1.2532,2.35746,0.6527,0.84893,0.8182,0.34963,0.68359,0.83871,0.83204,0.61943,1.86766,1.41847,1.55464,2.88566,0.001604,0.001604,0.001604
