epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,138.795,1.16885,1.00112,0.01786,0.84435,0.73097,0.80995,0.45723,1.48683,0.97521,0.0291,0.00123566,0.00123566,0.00123566
43,141.891,1.15215,0.99122,0.01716,0.80961,0.77533,0.82907,0.50429,1.42882,0.94451,0.02726,0.00123094,0.00123094,0.00123094
44,144.969,1.15169,0.9926,0.01782,0.8295,0.80221,0.85763,0.51485,1.44119,0.85689,0.02671,0.00122622,0.00122622,0.00122622
45,148.05,1.12972,0.98444,0.01707,0.82825,0.7683,0.82757,0.48201,1.41884,0.97096,0.02645,0.00122151,0.00122151,0.00122151
46,151.169,1.10664,0.97179,0.01669,0.87931,0.80646,0.85403,0.53338,1.3107,0.80586,0.02385,0.00121679,0.00121679,0.00121679
47,154.269,1.17725,0.94122,0.0183,0.83778,0.82374,0.8758,0.5132,1.45376,0.83926,0.02763,0.00121208,0.00121208,0.00121208
48,157.354,1.16516,0.97494,0.01812,0.82488,0.81813,0.85813,0.53676,1.32177,0.82366,0.0244,0.00120736,0.00120736,0.00120736
49,160.47,1.16551,0.93652,0.01842,0.85657,0.79967,0.86107,0.52181,1.45007,0.82462,0.02773,0.00120265,0.00120265,0.00120265
50,163.566,1.15569,0.99123,0.01704,0.83532,0.79903,0.86227,0.52219,1.38858,0.83697,0.02617,0.00119793,0.00119793,0.00119793
51,166.638,1.1406,0.97382,0.01707,0.82666,0.78555,0.83937,0.46151,1.59679,0.87376,0.03066,0.00119322,0.00119322,0.00119322
52,169.756,1.07434,0.89797,0.01554,0.80864,0.79421,0.79763,0.49409,1.38054,0.91767,0.02516,0.0011885,0.0011885,0.0011885
53,172.851,1.11363,0.89709,0.01627,0.86275,0.77342,0.8361,0.46876,1.48361,0.92828,0.02763,0.00118378,0.00118378,0.00118378
54,175.909,1.10069,0.8964,0.01591,0.82473,0.80459,0.8656,0.52314,1.3267,0.85829,0.02475,0.00117907,0.00117907,0.00117907
55,179.046,1.11248,0.94602,0.01693,0.8551,0.79121,0.84934,0.50271,1.41552,0.84367,0.02745,0.00117435,0.00117435,0.00117435
