epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,760.793,1.1477,0.73659,1.45095,0.81049,0.75988,0.81911,0.48344,1.49609,0.87193,1.7392,0.0095941,0.0095941,0.0095941
43,778.693,1.1364,0.72377,1.43547,0.88678,0.87651,0.90159,0.52932,1.45883,0.6849,1.72956,0.0095842,0.0095842,0.0095842
44,796.63,1.14373,0.72512,1.44362,0.8404,0.73282,0.82081,0.45323,1.63284,0.94361,1.90743,0.0095743,0.0095743,0.0095743
45,814.499,1.14104,0.71509,1.45374,0.86795,0.7816,0.852,0.48141,1.53404,0.80931,1.81559,0.0095644,0.0095644,0.0095644
46,832.395,1.12651,0.71411,1.43412,0.86529,0.8362,0.87994,0.51259,1.50734,0.74059,1.78891,0.0095545,0.0095545,0.0095545
47,850.256,1.13111,0.7086,1.42546,0.93622,0.80072,0.88888,0.5194,1.50842,0.75801,1.78778,0.0095446,0.0095446,0.0095446
48,868.404,1.1096,0.69981,1.41469,0.77781,0.78878,0.79952,0.46462,1.48807,0.91142,1.77447,0.0095347,0.0095347,0.0095347
49,886.303,1.10346,0.68417,1.40634,0.78381,0.82814,0.83277,0.4848,1.49335,0.85777,1.76239,0.0095248,0.0095248,0.0095248
50,904.206,1.09319,0.68903,1.4094,0.83228,0.8415,0.87573,0.50102,1.49955,0.80008,1.78844,0.0095149,0.0095149,0.0095149
51,922.095,1.08967,0.67828,1.39824,0.85612,0.7861,0.85074,0.48817,1.53425,0.80246,1.8257,0.009505,0.009505,0.009505
52,940.018,1.07286,0.66771,1.38602,0.88043,0.84702,0.88581,0.50178,1.57006,0.72856,1.84733,0.0094951,0.0094951,0.0094951
53,957.912,1.07839,0.66273,1.38189,0.79668,0.73475,0.78113,0.4532,1.53755,0.93558,1.85137,0.0094852,0.0094852,0.0094852
54,975.8,1.06397,0.66037,1.37797,0.85136,0.80161,0.8462,0.50488,1.49055,0.80507,1.76121,0.0094753,0.0094753,0.0094753
55,993.703,1.06638,0.64996,1.38309,0.81047,0.84286,0.86554,0.501,1.50106,0.82792,1.77117,0.0094654,0.0094654,0.0094654
56,1011.62,1.06244,0.65472,1.37557,0.83875,0.7536,0.81438,0.46392,1.59358,0.93647,1.90307,0.0094555,0.0094555,0.0094555
57,1029.52,1.03992,0.63969,1.35611,0.84221,0.81177,0.84339,0.49219,1.4869,0.83874,1.84645,0.0094456,0.0094456,0.0094456
58,1047.4,1.04243,0.639,1.3518,0.89075,0.84702,0.88309,0.51922,1.51849,0.67733,1.83214,0.0094357,0.0094357,0.0094357
59,1065.28,1.03344,0.64611,1.36069,0.85997,0.82117,0.86648,0.49526,1.54037,0.78055,1.86043,0.0094258,0.0094258,0.0094258
60,1083.18,1.04071,0.63665,1.3559,0.80064,0.79311,0.83244,0.49675,1.45556,0.84347,1.76849,0.0094159,0.0094159,0.0094159
61,1101.15,1.00222,0.62136,1.32472,0.82992,0.79843,0.84016,0.48691,1.48527,0.81877,1.81556,0.009406,0.009406,0.009406
62,1119.04,1.01908,0.6275,1.34477,0.83634,0.82876,0.85754,0.5007,1.45003,0.80065,1.7645,0.0093961,0.0093961,0.0093961
