epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.0337,2.21022,4.92414,0.04898,0,0,0,0,nan,nan,nan,0.00325203,0.00325203,0.0707317
2,19.515,1.99091,3.30837,0.04222,0,0,0,0,nan,nan,nan,0.00657233,0.00657233,0.0407187
3,24.7607,1.97586,3.06013,0.04332,0,0,0,0,nan,nan,nan,0.00987942,0.00987942,0.0106924
4,30.0064,1.96751,3.0132,0.04205,0.55402,0.00358,0.00544,0.00113,nan,nan,nan,0.0099406,0.0099406,0.0099406
5,35.2719,1.85485,2.89968,0.03898,0.03285,0.01756,0.00534,0.0014,3.70546,8.74751,0.09603,0.0099208,0.0099208,0.0099208
6,40.6222,1.82372,2.7725,0.03739,0.10063,0.19404,0.07637,0.02126,2.41781,7.89081,0.06443,0.009901,0.009901,0.009901
7,45.9102,1.81602,2.70097,0.03795,0.42474,0.24186,0.21129,0.07355,2.11226,3.60434,0.05284,0.0098812,0.0098812,0.0098812
8,51.1301,1.81417,2.5948,0.03819,0.6036,0.12012,0.12784,0.03916,2.40041,3.71189,0.06134,0.0098614,0.0098614,0.0098614
9,56.2789,1.81943,2.59093,0.03949,0.44399,0.12825,0.05095,0.01365,2.82601,4.06496,0.07456,0.0098416,0.0098416,0.0098416
10,61.6018,1.72944,2.45279,0.0364,0.17,0.22638,0.1111,0.03206,2.36813,3.95512,0.06523,0.0098218,0.0098218,0.0098218
11,66.7908,1.75015,2.45276,0.03634,0.79116,0.1362,0.11497,0.026,2.74825,4.37199,0.08376,0.009802,0.009802,0.009802
12,71.9551,1.72778,2.48122,0.03609,0.25644,0.30459,0.22351,0.0913,2.01092,3.18388,0.05171,0.0097822,0.0097822,0.0097822
13,77.146,1.71167,2.42694,0.03611,0.78928,0.16487,0.11286,0.02806,2.50341,4.62207,0.07377,0.0097624,0.0097624,0.0097624
14,82.3774,1.68049,2.38586,0.03547,0.26991,0.35099,0.23484,0.09833,2.01956,3.27584,0.054,0.0097426,0.0097426,0.0097426
15,87.6557,1.66414,2.34351,0.03425,0.54484,0.19131,0.16795,0.05644,2.18077,3.51991,0.06111,0.0097228,0.0097228,0.0097228
16,92.8087,1.66461,2.33481,0.0347,0.59943,0.12153,0.09612,0.02133,3.6255,3.45031,0.13587,0.009703,0.009703,0.009703
17,98.005,1.66876,2.3365,0.03482,0.6147,0.20721,0.13508,0.03901,2.50396,4.14079,0.07186,0.0096832,0.0096832,0.0096832
18,103.18,1.64994,2.28304,0.03491,0.28511,0.35417,0.30022,0.1273,2.09285,3.05643,0.05155,0.0096634,0.0096634,0.0096634
19,108.492,1.72277,2.25789,0.03628,0.2747,0.36564,0.24533,0.0857,2.03895,3.46514,0.05452,0.0096436,0.0096436,0.0096436
20,113.673,1.64964,2.23883,0.03538,0.24925,0.31359,0.23119,0.0761,2.24352,3.58639,0.06367,0.0096238,0.0096238,0.0096238
21,118.841,1.64488,2.22066,0.03397,0.62932,0.32889,0.29975,0.08819,2.20186,3.00126,0.05976,0.009604,0.009604,0.009604
22,124.077,1.66509,2.11482,0.03435,0.22154,0.30948,0.23852,0.07431,2.43449,3.50006,0.0721,0.0095842,0.0095842,0.0095842
23,129.248,1.61746,2.10446,0.03377,0.59438,0.30517,0.2392,0.07772,2.39489,3.39087,0.06637,0.0095644,0.0095644,0.0095644
24,134.648,1.67505,2.16189,0.03532,0.60107,0.25604,0.23923,0.08559,2.48484,3.92454,0.0678,0.0095446,0.0095446,0.0095446
25,139.826,1.63965,2.12711,0.03483,0.31054,0.40119,0.35681,0.14565,2.02649,2.56372,0.05008,0.0095248,0.0095248,0.0095248
26,145.011,1.67376,2.13991,0.03511,0.58521,0.39841,0.34554,0.15491,2.2486,2.66598,0.05459,0.009505,0.009505,0.009505
27,150.15,1.65593,2.02592,0.03495,0.66982,0.31709,0.30776,0.15054,2.16605,3.0151,0.05432,0.0094852,0.0094852,0.0094852
28,155.396,1.6524,2.01493,0.03514,0.31408,0.44941,0.35885,0.15489,2.24921,2.43482,0.05747,0.0094654,0.0094654,0.0094654
29,160.548,1.61143,2.05293,0.0333,0.35558,0.52961,0.42784,0.20135,1.91674,2.33683,0.04775,0.0094456,0.0094456,0.0094456
30,165.721,1.60399,2.00853,0.0328,0.32675,0.40087,0.36745,0.13415,2.32662,2.47136,0.05822,0.0094258,0.0094258,0.0094258
31,170.838,1.55274,1.96205,0.03216,0.64891,0.22793,0.15775,0.04932,3.03058,3.12129,0.0982,0.009406,0.009406,0.009406
32,176.064,1.58533,1.92291,0.03195,0.27381,0.27014,0.19688,0.06172,2.65819,3.61924,0.07605,0.0093862,0.0093862,0.0093862
33,181.169,1.56733,1.97893,0.0323,0.74606,0.40759,0.46285,0.19571,2.0347,2.24952,0.05406,0.0093664,0.0093664,0.0093664
34,186.357,1.57005,1.89839,0.03241,0.36864,0.48653,0.34683,0.14842,2.10255,2.82196,0.0543,0.0093466,0.0093466,0.0093466
35,191.482,1.57033,1.95389,0.03288,0.29681,0.35664,0.29221,0.12776,2.1482,3.00224,0.05461,0.0093268,0.0093268,0.0093268
36,196.711,1.55427,1.96624,0.03191,0.36216,0.37117,0.26463,0.08974,2.44143,3.00794,0.06643,0.009307,0.009307,0.009307
37,201.865,1.5431,1.90596,0.0315,0.71489,0.42388,0.46928,0.20243,2.11669,2.02961,0.05259,0.0092872,0.0092872,0.0092872
38,207.034,1.56281,1.87242,0.03131,0.44272,0.52156,0.48676,0.22023,1.96809,2.01844,0.04715,0.0092674,0.0092674,0.0092674
39,212.194,1.5459,1.80583,0.03176,0.55657,0.56499,0.55352,0.24529,1.94028,1.97338,0.04747,0.0092476,0.0092476,0.0092476
40,217.434,1.54593,1.81744,0.0324,0.52611,0.59976,0.5609,0.27746,1.81099,1.78509,0.04218,0.0092278,0.0092278,0.0092278
41,222.597,1.51719,1.86308,0.02998,0.54756,0.55716,0.56945,0.25954,1.77219,1.85001,0.04257,0.009208,0.009208,0.009208
42,227.727,1.50825,1.85325,0.03137,0.50699,0.60071,0.52477,0.24398,1.83729,1.90425,0.04338,0.0091882,0.0091882,0.0091882
43,232.963,1.50271,1.85346,0.0307,0.48686,0.50233,0.4768,0.21031,1.9097,2.23915,0.04609,0.0091684,0.0091684,0.0091684
