epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,42.9646,0.54873,0.59087,0.38086,0.02365,0.79437,0.70656,0.84847,0.87924,0.79609,0.70656,0.84847,0.87924,0.79548,0.45766,0.5055,0.54032,0.01951,0,0.0007327,0.0007327,0.0007327
29,44.4634,0.5351,0.53714,0.33057,0.02253,0.69164,0.70716,0.85096,0.87699,0.77386,0.70716,0.85096,0.87699,0.78262,0.58142,0.52654,0.56741,0.02532,0,0.0007228,0.0007228,0.0007228
30,46.1267,0.56954,0.53413,0.34461,0.02483,0.6804,0.60606,0.90845,0.79821,0.69694,0.60606,0.90845,0.79821,0.72849,0.59268,0.47444,0.68645,0.02603,0,0.0007129,0.0007129,0.0007129
31,47.6919,0.43981,0.57713,0.37093,0.01825,0.62688,0.61418,0.97143,0.80701,0.734,0.61418,0.97143,0.80701,0.74943,0.45735,0.4544,0.66521,0.01963,0,0.000703,0.000703,0.000703
32,49.2859,0.49502,0.58044,0.37593,0.02087,0.63203,0.66633,0.93333,0.80286,0.74243,0.66633,0.93333,0.80286,0.7329,0.42198,0.46829,0.61447,0.01809,0,0.0006931,0.0006931,0.0006931
33,50.8094,0.48725,0.55049,0.32849,0.02066,0.61276,0.65978,0.9604,0.80693,0.74282,0.65978,0.9604,0.80693,0.7328,0.43794,0.48609,0.59708,0.01891,0,0.0006832,0.0006832,0.0006832
34,52.4557,0.4788,0.52418,0.34572,0.01989,0.5343,0.66311,0.89981,0.81173,0.70204,0.66311,0.89981,0.81173,0.73832,0.68012,0.47971,0.68567,0.03107,0,0.0006733,0.0006733,0.0006733
35,54.1141,0.59502,0.59221,0.35886,0.02622,0.65552,0.64856,0.91392,0.77178,0.69942,0.64856,0.91392,0.77178,0.7182,0.52293,0.43773,0.67351,0.02313,0,0.0006634,0.0006634,0.0006634
36,55.8,0.4473,0.51974,0.33517,0.01842,0.53472,0.75972,0.9335,0.87623,0.73644,0.75972,0.9335,0.87623,0.815,0.74475,0.41759,0.52886,0.03365,0,0.0006535,0.0006535,0.0006535
37,57.4298,0.54275,0.51384,0.31482,0.02311,0.64143,0.78367,0.89701,0.87362,0.73238,0.78367,0.89701,0.87362,0.80947,0.73338,0.41817,0.53074,0.03303,0,0.0006436,0.0006436,0.0006436
38,59.1946,0.47625,0.54573,0.32673,0.01983,0.62155,0.72454,0.88571,0.80723,0.74625,0.72454,0.88571,0.80723,0.74467,0.41626,0.42641,0.61132,0.01806,0,0.0006337,0.0006337,0.0006337
39,60.8542,0.40269,0.52586,0.29869,0.01698,0.58679,0.75236,0.88571,0.85015,0.81203,0.75236,0.88571,0.85015,0.77441,0.37114,0.42768,0.5457,0.01625,0,0.0006238,0.0006238,0.0006238
40,62.6469,0.51219,0.5264,0.32756,0.02153,0.57705,0.8365,0.89524,0.92298,0.85092,0.8365,0.89524,0.92298,0.86031,0.43828,0.41633,0.4413,0.01934,0,0.0006139,0.0006139,0.0006139
41,64.3399,0.40714,0.49704,0.29615,0.01705,0.55126,0.76581,0.96544,0.88627,0.84402,0.76581,0.96544,0.88627,0.82433,0.35601,0.41951,0.47221,0.01534,0,0.000604,0.000604,0.000604
42,65.9989,0.46668,0.53964,0.27672,0.01996,0.65056,0.72239,0.85714,0.82265,0.75467,0.72239,0.85714,0.82265,0.76535,0.47807,0.42095,0.61242,0.02081,0,0.0005941,0.0005941,0.0005941
43,67.8708,0.45687,0.49325,0.25493,0.01918,0.50419,0.71542,0.90983,0.85317,0.79823,0.71542,0.90983,0.85317,0.79901,0.39102,0.41807,0.56243,0.01679,0,0.0005842,0.0005842,0.0005842
44,69.6464,0.37557,0.48329,0.2835,0.01536,0.49481,0.72197,0.94286,0.87702,0.81257,0.72197,0.94286,0.87702,0.82183,0.4618,0.42941,0.54591,0.02061,0,0.0005743,0.0005743,0.0005743
45,77.216,0.42318,0.49236,0.26211,0.01733,0.551,0.71218,0.87196,0.84195,0.79874,0.71218,0.87196,0.84195,0.78058,0.37701,0.43848,0.60756,0.01673,0,0.0005644,0.0005644,0.0005644
